Activity Id,Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Friend's Tagged,Notes,GPX File
3edb5002-8708-45cc-be8d-646750a11168,2022-02-20 10:42:50,Running,,2.02,18:22,9:06,6.59,210.0,89,,"","",2022-02-20-104250.gpx
9b204540-e38a-47bb-98eb-82e3b0a803e0,2022-02-09 17:29:11,Running,,1.43,13:58,9:45,6.15,149.0,47,,"","",2022-02-09-172911.gpx
5845e9f7-4aec-4e56-af68-b146218ee374,2021-12-24 11:14:55,Running,,3.05,25:25,8:20,7.21,320.0,113,,"","",2021-12-24-111455.gpx
aff65380-4f37-4127-b910-899c3e5df02a,2021-12-02 15:48:56,Running,,3.12,25:40,8:13,7.30,331.0,171,,"","",2021-12-02-154856.gpx
b0951cd3-2c28-4413-aaf2-bcb8cf4b8a47,2021-11-25 13:41:39,Running,,3.10,24:11,7:48,7.69,328.0,148,,"","",2021-11-25-134139.gpx
abfc8beb-ec3d-48b0-930b-3e8af27a0565,2021-11-21 12:09:12,Running,,3.81,31:36,8:17,7.24,396.0,100,,"","",2021-11-21-120912.gpx
7f409c55-b126-4c0f-885a-85072f348fce,2021-10-26 16:47:23,Running,,3.20,28:03,8:46,6.84,342.0,213,,"","",2021-10-26-164723.gpx
df428f69-225b-429d-bec2-d120f2d826e4,2021-10-21 17:43:24,Running,,3.11,27:27,8:50,6.79,329.0,161,147,"","",2021-10-21-174324.gpx
9a8d7efe-cd46-4f99-9127-5396267dec49,2021-10-18 17:43:34,Running,,3.11,23:52,7:41,7.81,327.0,144,181,"","Great for one day after ultimate ",2021-10-18-174334.gpx
bc3c54ef-7c9a-433c-a479-c2b38399ede5,2021-10-14 17:01:59,Running,,3.12,26:38,8:32,7.03,321.0,72,,"","",2021-10-14-170159.gpx
37b1d835-14a7-4963-afa6-f81538cf87ec,2021-10-04 17:36:14,Running,,1.97,16:26,8:21,7.18,208.0,91,,"","",2021-10-04-173614.gpx
49beeeee-c682-4ea0-9293-7e95e85f4c7b,2021-09-22 17:51:30,Running,,3.11,25:16,8:07,7.39,324.0,101,172,"","Chest a little heavy after mile 2",2021-09-22-175130.gpx
2af8e3ef-5a97-4ce1-a163-e43d335b7b06,2021-09-17 16:14:10,Cycling,,18.57,1:22:37,4:27,13.48,622.0,613,113,"","",2021-09-17-161410.gpx
fe9b8a53-9c97-4d4d-a4b3-437bde039572,2021-09-09 17:05:29,Running,,3.12,26:17,8:25,7.13,335.0,215,180,"","Was fine just tired and lots of hills ",2021-09-09-170529.gpx
39349c99-e60a-4b34-ba80-8c8ae634f73f,2021-09-01 17:23:45,Cycling,,11.50,45:41,3:58,15.10,390.0,371,,"","",2021-09-01-172345.gpx
d461e62c-e23c-4430-8965-dbecab31b307,2021-08-31 18:43:12,Running,,2.24,18:56,8:28,7.08,239.0,139,,"","",2021-08-31-184312.gpx
51fda5da-d8e2-432d-8aa8-4bea29838619,2021-08-22 17:31:27,Running,,2.38,21:16,8:56,6.72,254.0,177,176,"","",2021-08-22-173127.gpx
eda67eca-161f-4730-8cee-6590df5b7f13,2021-08-18 17:53:38,Cycling,,9.04,37:28,4:09,14.47,318.0,224,138,"","",2021-08-18-175338.gpx
0dfe8aec-6951-4bc6-b2d3-151d88e5aa5f,2021-08-14 19:14:43,Running,,2.01,16:19,8:07,7.40,213.0,103,,"","4 days after hurting back somehow ",2021-08-14-191443.gpx
d2af474a-10f4-45d2-b17e-f3ea1eed62b2,2021-08-08 09:57:58,Running,,2.12,19:57,9:26,6.36,220.0,63,176,"","",2021-08-08-095758.gpx
ed1c0af3-7f59-4343-99a9-2e62623c6164,2021-08-04 18:28:39,Running,,0.91,8:46,9:41,6.20,98.0,91,,"","",2021-08-04-182839.gpx
2ce252df-b26c-4ef0-96c5-b9a2746ed022,2021-08-04 18:10:00,Running,,2.29,18:07,7:56,7.57,237.0,51,,"","",2021-08-04-181000.gpx
93903a29-c075-435c-a2ff-b20a066d5b93,2021-07-18 09:44:21,Running,,2.82,22:21,7:56,7.57,288.0,39,,"","Legs felt fine, it was really humid so stopped ",2021-07-18-094421.gpx
86c43ad1-7042-4efa-83e2-206b4a128091,2021-07-10 16:43:13,Running,,3.15,25:58,8:14,7.28,326.0,82,,"","Legs felt good, chest a little heavy but recovered fast ",2021-07-10-164313.gpx
c17704fa-2f43-4c57-918b-d67b357e581b,2021-07-04 16:39:17,Cycling,,8.15,32:22,3:58,15.11,259.0,538,,"","",2021-07-04-163917.gpx
d1e82866-fce6-4a05-9b91-5d5a57d3bc3f,2021-07-02 17:24:56,Cycling,,15.20,1:11:11,4:41,12.81,476.0,878,145,"","",2021-07-02-172456.gpx
8f13e0b9-b89f-4fed-984b-ab4318a875bf,2021-07-01 10:41:10,Cycling,,7.12,41:06,5:46,10.40,211.0,258,98,"","Up north with dad ",2021-07-01-104110.gpx
7c0023b4-b149-45e8-846f-0165288cd631,2021-06-27 12:27:30,Cycling,,15.25,1:01:00,4:00,15.00,507.0,574,152,"","",2021-06-27-122730.gpx
10057ec0-3f5a-48b1-9094-faf13ffde096,2021-06-24 06:47:52,Running,,3.27,34:27,10:32,5.69,339.0,87,162,"","With J, outside ",2021-06-24-064752.gpx
fdfe7d2c-2faf-4dba-b425-69387cd616a1,2021-06-19 08:38:42,Cycling,,18.52,1:21:57,4:26,13.56,624.0,586,136,"","",2021-06-19-083842.gpx
7bc8d437-79a1-41e2-97d0-e348281c1bd4,2021-06-18 10:21:11,Running,,2.67,24:31,9:11,6.54,276.0,66,,"","Hot ",2021-06-18-102111.gpx
86c8ee17-bf21-47cf-a4c0-07578e4df51a,2021-06-13 08:43:33,Cycling,,20.69,1:32:48,4:29,13.38,707.0,649,132,"","",2021-06-13-084333.gpx
313b8d28-87ac-4039-b837-0c1a789e00ae,2021-06-12 08:39:34,Running,,3.44,37:39,10:58,5.47,354.0,116,,"","",2021-06-12-083934.gpx
bf46ad74-d4af-4263-a2a9-1acf1c04b9db,2021-06-05 09:00:52,Running,,0.31,3:09,10:19,5.82,30.0,7,,"","Cool down ",2021-06-05-090052.gpx
a932ce1a-899b-4983-9a88-f61c5d0a6b42,2021-06-05 08:37:59,Running,,2.39,20:56,8:46,6.84,245.0,44,,"","5 days after first ultimate game and left hamstring was sore before but not during this run.  Very hot and humid ",2021-06-05-083759.gpx
84d684d6-d5ca-4066-b84b-dd82b164b47e,2021-05-31 08:47:14,Cycling,,15.30,1:12:22,4:44,12.68,507.0,528,,"","",2021-05-31-084714.gpx
3bbac85d-1f19-4dad-9ce8-82a13151dc8e,2021-05-24 18:54:55,Running,,3.54,30:11,8:32,7.03,370.0,141,174,"","Very humid ",2021-05-24-185455.gpx
26e77182-f5bf-444b-ae95-d4c34169f494,2021-05-23 16:22:00,Cycling,,7.51,31:57,4:15,14.11,248.0,144,145,"","",2021-05-23-162200.gpx
bdd2be6f-330f-4ed7-ab45-2244752e7130,2021-05-20 17:52:35,Running,,1.09,9:33,8:47,6.83,111.0,13,,"","",2021-05-20-175235.gpx
71ece29d-34c1-43c4-a756-6d39ff4e060b,2021-05-18 16:48:39,Running,,4.02,33:38,8:22,7.18,418.0,120,179,"","With Nate ",2021-05-18-164839.gpx
9babf84e-3e3b-4383-a47f-5e447a1f1424,2021-05-15 12:01:58,Cycling,,13.32,1:00:17,4:32,13.26,450.0,559,,"","",2021-05-15-120158.gpx
5e089731-d35b-49b0-a644-ef40cc5845dd,2021-05-11 17:35:43,Running,,4.71,40:15,8:32,7.03,484.0,78,170,"","",2021-05-11-173543.gpx
88f9c8a6-0416-4820-86a8-c14af0385b62,2021-05-06 16:59:18,Running,,4.03,33:34,8:20,7.21,418.0,122,,"","",2021-05-06-165918.gpx
4ccd1c34-86c0-46d5-9202-4df671b516ad,2021-05-03 18:16:40,Running,,0.23,3:28,14:52,4.04,20.0,2,,"","Cool down ",2021-05-03-181640.gpx
27869bca-f193-4fd2-b542-76f4dbd34fcf,2021-05-03 17:50:41,Running,,3.12,25:23,8:08,7.38,323.0,76,166,"","",2021-05-03-175041.gpx
96996b07-84da-4d76-b992-c0e2bc44d120,2021-04-28 16:50:51,Running,,3.71,30:16,8:10,7.35,384.0,92,172,"","",2021-04-28-165051.gpx
9bdd8099-7b30-45f6-b06b-fd16f08dc155,2021-04-22 18:15:40,Cycling,,6.18,27:57,4:31,13.27,213.0,177,148,"","First ride of 2021",2021-04-22-181540.gpx
94484f38-eb37-4878-b6b9-5111e38b9d38,2021-04-21 17:19:29,Running,,3.13,26:35,8:30,7.05,326.0,107,,"","",2021-04-21-171929.gpx
76723dad-0163-4d2a-9d4b-5ab144ca33c4,2021-04-16 16:48:48,Walking,,0.77,15:42,20:30,2.93,54.0,17,,"","",2021-04-16-164848.gpx
c955d37b-90bf-4bb4-97f5-47da88f88f7c,2021-04-16 16:18:01,Running,,3.12,27:52,8:56,6.72,290.602,424,185,"","",
a951bbc2-7590-4ccc-801f-459b475e2418,2021-04-05 17:37:42,Running,,1.47,18:47,12:48,4.69,140.0,34,,"","A few days after hurting my back ",2021-04-05-173742.gpx
6344a186-85cc-45f4-ad90-13eefe03aff3,2021-03-29 17:21:33,Running,,4.01,36:05,9:00,6.67,413.0,86,175,"","",2021-03-29-172133.gpx
46f6c438-1008-4177-bebb-45bcb8ae69ee,2021-03-22 17:10:59,Running,,3.13,25:43,8:13,7.31,324.0,85,,"","",2021-03-22-171059.gpx
a69c8539-5510-4bb5-be18-8663eee40b6a,2021-03-18 17:08:51,Running,,3.53,29:34,8:23,7.16,367.0,121,,"","",2021-03-18-170851.gpx
fc70a8a5-b409-4f42-9046-e54ea32e9fe5,2021-03-11 17:09:43,Running,,3.12,27:27,8:48,6.81,324.0,106,,"","",2021-03-11-170943.gpx
01ad8aa2-7808-4b78-b58d-e25ed069bc34,2021-03-08 17:15:37,Running,,2.31,20:36,8:55,6.73,239.0,63,,"","",2021-03-08-171537.gpx
4792bbfa-d655-4bff-b973-087b94162b28,2021-01-04 16:18:08,Running,,3.25,25:15,7:46,7.73,345.0,206,166,"","",2021-01-04-161808.gpx
747296e5-140a-421f-a74a-60fdc444abb7,2020-12-28 12:22:16,Running,,4.06,34:48,8:35,6.99,434.0,270,,"","",2020-12-28-122216.gpx
fb88b144-3c1a-4ab9-b228-20c5c5b2668f,2020-12-13 13:51:05,Running,,5.45,45:50,8:24,7.14,594.0,431,173,"","It was actually 10k at 51:19",2020-12-13-135105.gpx
1beb8016-8238-4938-8fac-1d4c46c99e3f,2020-12-06 14:54:13,Running,,5.46,50:33,9:16,6.47,582.0,426,112,"","",2020-12-06-145413.gpx
28363aab-4869-401a-8a4c-211a9a0db274,2020-11-28 14:26:58,Running,,3.11,23:19,7:30,7.99,332.0,186,150,"","",2020-11-28-142658.gpx
09bad31c-ff9c-48f1-83e6-7c2738a480c5,2020-11-26 10:01:22,Running,,6.32,59:52,9:29,6.33,665.0,352,145,"","",2020-11-26-100122.gpx
aaf07f5a-bf96-4799-b74d-c1ca549eff75,2020-11-24 15:48:55,Running,,3.93,33:21,8:29,7.07,419.0,253,,"","",2020-11-24-154855.gpx
8df2d23c-fdda-478a-9606-8bc66694314c,2020-11-22 15:44:37,Running,,2.56,22:05,8:38,6.94,244.704,174,168,"","",
235f91a4-2183-425b-8f4d-0ab37919cb58,2020-11-05 16:59:14,Running,,2.36,17:28,7:25,8.09,247.0,87,,"","",2020-11-05-165914.gpx
db3cbf1d-75b8-4f98-bdef-36bee4ac6b2d,2020-11-03 16:15:21,Running,,4.04,32:13,7:58,7.53,418.0,119,155,"","",2020-11-03-161521.gpx
dcbcb89f-58f5-4112-a986-b34558be62a8,2020-10-31 14:00:00,Running,,4.05,31:54,7:52,7.62,418.0,93,,"","",2020-10-31-140000.gpx
1b4f5d40-b121-41fa-a3e4-10dde35ad941,2020-10-25 10:04:12,Running,,4.07,35:45,8:47,6.83,420.537999999999,326,176,"","",
02825310-7777-4c98-9b27-1a23ac043b04,2020-10-16 17:12:50,Running,,4.27,33:28,7:51,7.65,396.148000000001,387,150,"","",
